Image_Metadata_Well,CNfrac_akt.ncells,CNfrac_akt.mn,CNfrac_akt.sd,comp.conc,well.type,Col,Row,npi,zscore
I008,408,1.10609,0.253788,I8_10uM,compound,8,I,1.03868,0.73482
I009,275,1.05229,0.275026,I9_10uM,compound,9,I,0.927583,0.152718
I010,416,1.0535,0.284378,I10_10uM,compound,10,I,0.930083,0.165814
I011,354,1.06216,0.295327,I11_10uM,compound,11,I,0.947961,0.259488
I012,409,1.05407,0.254142,I12_10uM,compound,12,I,0.931252,0.171939
I013,438,0.946279,0.255915,I13_10uM,compound,13,I,0.708619,-0.994524
I014,358,1.0361,0.253061,I14_10uM,compound,14,I,0.894135,-0.0225304
I015,270,1.08839,0.257413,I15_10uM,compound,15,I,1.00214,0.543371
I016,355,1.07496,0.262614,I16_10uM,compound,16,I,0.974398,0.398002
I017,374,0.837108,0.263704,I17_10uM,compound,17,I,0.483135,-2.17592
I018,301,1.08655,0.252429,I18_10uM,compound,18,I,0.998334,0.523409
I019,356,1.08077,0.257387,I19_10uM,compound,19,I,0.986405,0.460912
I020,341,1.0476,0.272539,I20_10uM,compound,20,I,0.917897,0.10197
I021,253,1.12371,0.278539,I21_10uM,compound,21,I,1.07509,0.925589
I022,297,1.0426,0.268736,I22_10uM,compound,22,I,0.907552,0.0477658
I023,267,0.814256,0.184018,Cobimetinib_200nM,pos.erk,23,I,0.435938,-2.42321
I024,224,1.11382,0.279141,DMSO_1E-3,neg,24,I,1.05467,0.818557
J001,323,1.05343,0.286664,J1_10uM,compound,1,J,0.929939,0.165061
J002,365,1.03601,0.295763,J2_10uM,compound,2,J,0.893955,-0.0234747
J003,283,1.12871,0.279017,J3_10uM,compound,3,J,1.08542,0.979694
J004,276,1.0244,0.280972,J4_10uM,compound,4,J,0.86996,-0.149192
J005,295,1.05779,0.274605,J5_10uM,compound,5,J,0.938933,0.212183
J006,419,0.991169,0.259232,J6_10uM,compound,6,J,0.801334,-0.508752
J007,305,1.08124,0.266533,J7_10uM,compound,7,J,0.987358,0.465904
J008,280,0.990228,0.261616,J8_10uM,compound,8,J,0.799391,-0.518932
J009,345,1.08284,0.25537,J9_10uM,compound,9,J,0.990665,0.483232
J010,356,1.05241,0.271406,J10_10uM,compound,10,J,0.927831,0.154018
J011,280,1.07325,0.277284,J11_10uM,compound,11,J,0.970858,0.379453
J012,384,1.03536,0.274912,J12_10uM,compound,12,J,0.892609,-0.030526
J013,405,0.904903,0.246061,J13_10uM,compound,13,J,0.62316,-1.44228
J014,297,0.967515,0.26351,J14_10uM,compound,14,J,0.75248,-0.764718
J015,123,0.915673,0.25772,J15_10uM,compound,15,J,0.645404,-1.32573
J016,336,0.934073,0.26314,J16_10uM,compound,16,J,0.683408,-1.12661
J017,314,1.10339,0.263132,J17_10uM,compound,17,J,1.03311,0.705597
J018,349,1.12198,0.274771,J18_10uM,compound,18,J,1.07152,0.906846
J019,232,1.06067,0.266215,J19_10uM,compound,19,J,0.94489,0.243396
J020,275,1.05455,0.27799,J20_10uM,compound,20,J,0.932246,0.177149
J021,231,1.08766,0.234934,J21_10uM,compound,21,J,1.00062,0.5354
J022,287,1.05664,0.257079,J22_10uM,compound,22,J,0.93656,0.199749
J023,272,0.780108,0.182663,Cobimetinib_200nM,pos.erk,23,J,0.365408,-2.79274
J024,232,1.10702,0.291746,DMSO_1E-3,neg,24,J,1.04062,0.744985
K001,263,1.10618,0.290087,K1_10uM,compound,1,K,1.03888,0.735865
K002,507,1.10438,0.274669,K2_10uM,compound,2,K,1.03517,0.716405
K003,444,1.12389,0.287225,K3_10uM,compound,3,K,1.07546,0.927516
K004,273,0.963817,0.277391,K4_10uM,compound,4,K,0.744841,-0.804737
K005,320,1.05018,0.239329,K5_10uM,compound,5,K,0.923224,0.129881
K006,394,1.02453,0.273563,K6_10uM,compound,6,K,0.870248,-0.147685
K007,317,1.10345,0.263339,K7_10uM,compound,7,K,1.03325,0.706349
K008,443,1.10241,0.26461,K8_10uM,compound,8,K,1.0311,0.695088
K009,373,1.13221,0.262913,K9_10uM,compound,9,K,1.09264,1.0175
K010,395,1.11832,0.408082,K10_10uM,compound,10,K,1.06395,0.867199
K011,456,1.04956,0.270143,K11_10uM,compound,11,K,0.921929,0.123096
